IsPossGoal,PlayerX,PlayerY,BallX,BallY,teammates_within_5,opponents_within_5,teammates_within_10,opponents_within_10,teammates_within_15,opponents_within_15,teammates_ahead_of_ball,opponents_ahead_of_ball
0,26.85,-1.17,28.66,-5.88,1,2,1,2,1,4,1,3
0,26.87,-2.93,26.63,-3.44,0,2,3,3,4,7,5,8
0,22.36,4.71,28.31,12.37,1,1,1,3,1,4,5,7
0,24.85,-0.35,24.68,-1.35,0,2,4,3,5,7,4,7
0,24.03,0.67,22.57,0.26,1,2,3,6,3,7,1,4
1,27.15,4.15,25.34,4.11,1,2,3,5,3,6,4,9
0,21.37,-0.15,NULL,NULL,0,0,0,0,0,0,0,0
0,25.56,-0.39,12.4,25.15,1,0,2,2,3,3,5,9
0,23.86,-4.04,25.11,-3.35,0,0,1,3,3,7,5,8
0,23.65,4.39,24.12,4.78,0,1,0,1,1,4,5,9
0,27.92,-3.07,28.37,-0.04,1,1,1,4,2,7,4,8
0,22.51,4.72,23.82,2.47,0,1,0,1,2,5,7,10
0,24.1,-2.69,14.82,-7.68,0,0,1,2,3,4,7,10
0,26.9,1.76,25.38,1.69,0,1,0,3,3,6,3,4
0,27.82,4.23,27.05,4.37,0,1,1,6,4,6,3,7
0,24.22,-1.21,23.94,-5.79,0,0,0,3,2,7,4,8
0,21.78,3.52,23.24,8.77,1,1,2,3,5,6,5,8
0,24.95,-0.66,25.62,1.17,0,2,1,6,1,6,2,5
0,28.35,1.29,28.22,1.08,0,3,4,8,5,9,5,8
0,24.04,-4.44,23.83,-3.65,0,2,1,3,4,7,4,9
0,28.3,1.78,30.52,-0.07,1,3,3,7,3,8,4,5
1,24.62,1.3,24.32,1.64,0,1,2,3,4,3,4,7
0,20.87,4.47,19.28,6.62,0,2,1,4,6,7,5,8
0,29.87,3.42,28.55,3.57,1,2,4,5,5,7,2,6
0,21.15,-0.07,19.37,-1.25,1,0,2,2,4,4,5,10
0,29.19,1.71,31.02,2.94,0,3,1,5,2,6,3,4
0,28.17,0.1,28.37,0.41,1,2,1,4,4,9,3,8
0,23.01,1.06,23.66,1.1,0,1,0,2,3,5,4,6
0,23.58,3.56,25.14,-0.64,0,1,2,5,3,5,2,4
1,23.76,-4.73,23.26,-9.71,0,1,2,1,4,3,7,11
0,27.46,2.85,19.82,1.23,1,0,1,1,2,3,5,10
1,26.41,-0.47,26.02,-0.21,0,1,3,2,4,6,5,8
0,23.11,-0.85,24.04,-2.02,2,3,2,6,4,8,3,8
0,28.59,-4.51,28.82,6.12,0,0,1,3,5,5,5,8
0,27.33,1.87,26.79,1.03,0,3,0,6,3,7,4,7
0,21.5,-2.05,5.25,3.1,1,0,1,0,3,2,7,11
0,27.98,3.51,27.59,3.98,0,2,2,5,2,7,2,5
0,24.93,-4.93,23.83,-4.47,0,1,0,1,2,3,7,10
0,28.89,-1.41,36.94,-14.15,1,0,1,1,2,3,4,5
1,29.84,3.31,32.11,4.02,2,4,3,7,4,8,2,5
0,23.57,3.79,25.6,5.95,1,1,2,3,2,7,4,7
0,20.94,-3.85,21.06,3.16,0,0,0,1,2,2,9,11
0,24.45,3.59,24.14,2.57,0,2,1,2,4,7,2,8
0,28.25,2.72,27.8,6.01,0,1,3,5,6,7,5,8
0,20.18,3.8,20.18,-0.35,0,0,0,1,1,2,5,9
1,24.14,1.75,23.76,1.5,0,3,3,5,5,7,5,6
0,27.79,-1.62,28.6,-1.36,1,2,1,4,1,4,1,4
1,27.33,2.85,28.56,0.05,0,1,0,5,1,6,3,5
0,20.75,-0.83,20.38,-1.22,0,1,3,3,5,7,3,10
0,22,-3.73,21.25,-4.32,1,2,1,4,5,6,7,11
0,20.66,2.73,-4.01,29.16,1,1,1,1,2,3,5,10
0,25.02,-2.07,21,-4.17,1,2,2,2,3,3,2,6
0,22.54,-4.34,22.54,-3.59,1,0,2,2,4,7,4,9
0,20.54,1.67,20.96,1.1,0,1,1,3,3,5,5,8
0,21.73,-3.2,21.86,-3.83,0,0,1,2,3,4,7,9
0,24.83,-0.54,26.13,-2.14,0,1,3,3,4,6,2,6
0,20.05,2.18,19.79,2.71,0,1,2,3,3,5,7,10
0,22.53,2.53,11.42,-14.9,1,0,1,0,1,1,8,10
0,23.76,4.83,25.93,-1.2,0,1,1,3,3,8,5,10
1,22.44,-2.17,22.33,-3.25,0,1,0,2,1,4,5,8
0,24.88,3.22,25.01,-2,0,1,1,2,3,7,4,7
0,21.32,-2.15,22.14,-3.64,0,0,0,0,2,1,7,10
0,28.83,3.46,29.57,4.25,0,1,2,4,2,6,5,7
1,23.73,3.87,24.61,3.68,0,1,1,4,2,8,4,7
1,23,-0.32,25.88,0.77,0,2,2,3,2,7,2,4
0,28.18,-4.72,24.76,-0.81,0,1,1,3,1,5,2,8
0,20.91,-1.47,22.01,-0.44,0,0,1,3,4,6,7,8
0,24.81,-1.47,41.94,-16.97,1,0,1,1,1,3,0,1
0,20.74,3.76,25.71,-1.57,1,1,2,5,4,6,2,4
0,25.87,-2.04,25.36,-1.51,0,2,1,4,2,6,5,8
1,20.52,-1.67,18.62,-1.94,0,1,2,3,2,6,2,7
0,22.71,-3.17,22.92,-1.46,0,2,1,4,3,5,2,5
1,27.63,-0.92,33.94,1.74,2,2,3,6,3,7,1,4
0,22.08,-2.72,22.27,-6.33,0,0,1,3,2,5,7,10
0,21.18,0.83,21.15,-4.41,1,0,1,1,1,3,9,11
0,26.08,-2.62,26.91,-2.18,0,0,3,4,4,8,7,10
0,26.57,-0.44,26.43,-0.75,0,2,3,5,4,7,5,7
0,21.92,0.22,22.12,0.76,0,2,1,4,3,6,5,9
0,25.7,4.65,24.69,-0.8,0,0,0,3,3,6,4,9
1,24.41,3.88,23.17,3.27,0,1,1,1,3,4,0,5
0,25.46,-0.28,25.57,0.4,0,0,1,4,7,7,3,9
0,26.64,-0.88,26.46,-0.73,0,2,2,2,3,4,4,8
1,22.06,3.24,23.16,8.72,0,1,1,1,2,2,9,10
0,29.5,-4.65,26.5,-5.53,1,2,4,5,5,6,6,8
0,24.68,3.31,23.92,3.27,2,2,3,3,5,4,5,8
0,20.22,2.55,21.82,4.1,0,1,0,2,1,4,1,3
0,22.89,3.04,22.03,-7.58,0,0,2,2,4,4,6,10
0,26.16,4.79,26.7,1.7,1,2,2,4,5,10,5,9
0,23.11,-2.16,22.97,-1.69,0,1,0,3,4,5,7,10
0,22.37,-2.08,22.53,-2.34,0,0,0,3,2,4,6,9
0,25.72,-4.66,28.83,-0.86,0,3,2,6,3,7,3,3
0,23.07,-2.21,23.74,-2.13,1,2,1,4,4,6,4,8
0,22.98,-2.24,22.89,-2.87,1,1,1,1,4,4,7,11
0,23.85,-1.09,23.94,-1.39,0,1,0,3,3,8,5,8
0,25.44,-3.37,24.55,-2.48,0,2,0,2,2,6,3,7
1,25.93,-1.96,31.07,-2.98,1,2,2,4,3,6,2,4
0,22.43,4.04,23.18,5.43,1,2,2,4,3,4,1,3
1,22.79,-4.92,19.46,1.89,0,1,1,3,2,4,6,10
0,20.25,-3.24,21.4,-3.74,0,2,2,4,3,6,5,7
0,26.06,2.37,32,9.44,1,1,2,3,5,5,5,6
0,23.79,2.14,25.3,3.29,1,2,1,3,3,8,5,8
0,20.49,-2.95,23.06,-4.25,0,0,0,1,2,5,7,10
0,27.37,-3.8,NULL,NULL,0,0,0,0,0,0,0,0
0,22.73,-3.33,21.71,-4.94,1,4,2,6,4,7,0,5
0,23.6,-1.47,24.14,-4.25,1,3,1,3,3,6,7,9
0,25.39,-2.68,25.82,-2.43,0,1,2,4,4,8,5,9
0,20.17,-3.38,20.79,-2.78,1,0,2,3,5,6,5,9
0,26.23,1.97,15.35,17.23,1,2,3,4,4,6,5,8
0,27.03,4.53,26.89,3.99,0,2,2,4,5,6,6,9
0,27.22,-2,26.68,-2.26,0,2,1,5,3,9,3,6
0,22.71,3.27,23.86,4.95,0,1,1,2,4,7,4,7
0,22.54,-1.15,22.87,-3.63,0,1,0,2,4,6,8,11
1,21.92,4.34,23.33,9.07,1,2,2,3,4,7,4,9
0,25.52,-4.43,NULL,NULL,0,0,0,0,0,0,0,0
0,22.41,2.49,21.81,4.94,1,2,3,4,4,7,4,7
0,20.92,0.09,23.4,-7.87,1,2,2,3,2,5,4,7
0,20.27,0.03,20.37,0.54,0,0,1,4,4,4,6,10
0,21.79,-3.22,21.73,-1.97,1,3,2,3,6,6,4,9
0,22.1,-4.21,22.07,-2.45,0,2,2,4,3,7,4,9
0,22.8,3.94,23.94,2.81,1,2,1,5,3,6,2,6
0,27.61,-1.54,27.12,-1.16,1,3,3,4,5,7,3,7
0,22.42,3.1,20.74,4.75,0,2,1,3,3,5,5,10
0,29.29,2.28,22.01,-0.24,2,2,3,3,5,4,6,9
0,28.17,-2.33,28.07,-3.13,0,1,1,3,5,5,3,7
0,28.87,1.38,6.4,-25.28,2,1,2,2,3,2,4,10
0,28.57,1.41,25.05,-3.9,0,0,3,2,4,8,6,11
0,25.78,-1.56,23.16,-9.92,0,1,2,3,5,5,5,9
0,21.89,4.65,20.45,1.32,1,2,2,2,3,6,3,6
0,23.16,1.82,36.97,24.52,1,0,1,1,1,2,3,5
0,24.31,-4.91,23.87,-4.36,0,1,1,4,6,7,6,10
0,27.61,-0.57,24.16,-5.42,0,1,1,5,2,7,3,7
0,21.58,0.06,21.29,0.6,0,2,0,2,2,5,2,6
0,21.64,-3,24.96,1.49,1,2,2,6,4,8,3,5
0,25.08,2.99,26.95,-1.47,0,1,2,4,4,7,4,8
0,24.6,4.5,24.59,-10.28,1,0,4,2,4,5,4,10
0,28.1,-1.71,28.58,-3.25,1,1,1,3,2,5,0,3
0,20.06,-2.95,-3.53,-23.87,1,1,2,1,2,1,8,11
0,24.28,0.57,24.6,0.98,0,2,2,3,4,6,3,7
0,26.48,-3.09,25.21,-2.83,0,2,1,3,3,6,4,6
0,22.2,-3.04,25.27,-0.91,0,2,3,5,4,8,5,7
0,23.74,3.61,24.29,3.08,1,1,2,2,2,8,6,10
1,21.99,3.56,23.37,3.61,0,2,1,3,3,6,2,4
0,20.42,-2.28,20.65,-4.97,0,1,0,1,4,4,5,10
0,24.49,-0.02,25.07,-0.34,0,1,0,4,2,5,2,4
0,28.03,-2,28.12,-2.06,1,1,2,6,4,7,3,7
0,26.68,1.72,26.47,-0.4,0,2,1,5,4,7,4,7
0,27.28,-2.9,27.59,-3.51,0,1,2,3,4,7,6,9
0,20.07,-4.99,22.82,-5.09,0,2,1,5,5,9,5,10
0,26.49,3.27,25.45,1.22,0,2,2,4,3,6,3,7
0,28.69,1.4,28.98,-1.99,1,2,1,5,3,7,1,4
0,26.89,1.99,27.5,1.58,1,1,2,4,4,6,1,4
0,29.41,-4.94,30.82,-6.96,0,1,1,6,3,6,3,5
0,27.98,-3.55,27.04,-5.12,1,1,1,4,1,7,1,5
0,21.91,4.3,24.03,2.83,0,1,1,1,2,7,7,9
0,22.83,1.84,23.65,2.11,0,1,3,3,4,5,6,9
0,26.09,0.14,27.54,-3.48,2,3,2,5,5,8,5,8
0,24.6,-1.82,24.14,-2.3,0,1,2,5,6,8,4,10
0,20.6,3.15,22.97,2.8,0,1,1,4,4,6,6,10
0,22.91,-4.89,21.66,-1.3,1,1,3,4,4,5,2,6
0,24.48,1.41,2.06,-13.87,1,1,2,1,4,3,6,11
0,21.4,-1.53,28.56,-4.62,0,1,2,4,5,7,4,5
0,22.14,3.69,22.31,4.02,0,1,1,2,4,6,9,11
0,25.58,-2.78,26.06,-2.97,0,1,1,4,4,8,5,9
0,22.29,-3.82,21.96,1.25,0,1,2,4,2,7,4,9
0,23.5,0.64,22.74,0.73,0,1,1,2,2,4,5,10
0,21.52,3.55,22.82,4.91,0,1,0,2,1,6,4,8
0,25.59,-2.27,23.32,-3.35,0,1,1,3,2,5,4,9
0,26.96,-3.91,27.19,-4.24,0,2,2,3,3,7,5,8
0,27.28,-1.01,28,-3.05,0,3,2,5,3,6,2,5
1,25.13,-2.37,24.66,-2.56,1,1,2,3,3,7,6,10
0,29.69,0.48,29.71,-6.12,1,0,2,4,5,6,4,7
0,22.41,0.37,22.53,0.74,0,0,0,2,1,3,6,10
0,24.89,0.12,24.05,1.1,0,1,0,1,3,4,6,10
0,25.79,-0.57,23.89,4.11,1,1,2,2,3,6,7,10
0,28.77,-3.22,11.73,-0.91,1,1,2,2,5,4,6,10
0,20.5,2.43,12.15,23.44,1,1,3,2,3,4,3,8
0,27.33,-3.87,NULL,NULL,0,0,0,0,0,0,0,0
0,25.2,-2.07,24.89,-3.83,0,1,1,2,2,7,5,8
0,26.42,-0.03,26.49,0.58,0,2,3,6,4,8,5,8
0,23.43,-1.52,23.61,1.74,0,1,0,1,2,6,4,7
1,22.22,3.32,22.2,1.4,0,2,1,3,2,5,2,4
0,28.88,-3.36,29.35,-5.27,0,1,1,3,3,7,6,9
0,20.39,3.12,30.22,6.25,0,1,1,2,1,3,0,1
0,25.98,-0.88,24.53,-0.25,0,2,2,4,2,6,2,8
